epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,roc_auc,tpr,tnr,fpr,fnr
1,0.124971,0.088566,0.949315,0.964442,0.964601,0.964442,0.964437,0.995270,0.973872,0.954941,0.045059,0.026128
2,0.065652,0.081787,0.975079,0.969032,0.969599,0.969032,0.969021,0.996332,0.986506,0.951428,0.048572,0.013494
3,0.052610,0.075550,0.979122,0.970833,0.971756,0.970833,0.970816,0.997237,0.993026,0.948475,0.051525,0.006974
4,0.048293,0.064604,0.980779,0.976616,0.976784,0.976616,0.976613,0.997443,0.986102,0.967059,0.032941,0.013898
5,0.044322,0.070633,0.982207,0.973978,0.974363,0.973978,0.973971,0.997359,0.988326,0.959523,0.040477,0.011674
6,0.041532,0.051432,0.983536,0.981079,0.981118,0.981079,0.981079,0.998231,0.985647,0.976478,0.023522,0.014353
7,0.038611,0.061284,0.984500,0.979076,0.979318,0.979076,0.979072,0.997987,0.990398,0.967670,0.032330,0.009602
8,0.037955,0.067838,0.984600,0.975626,0.975783,0.975626,0.975624,0.997240,0.984788,0.966397,0.033603,0.015212
9,0.036634,0.051800,0.985650,0.980724,0.980965,0.980724,0.980721,0.998484,0.991964,0.969401,0.030599,0.008036
10,0.035829,0.051069,0.985807,0.982449,0.982501,0.982449,0.982448,0.998343,0.987719,0.977140,0.022860,0.012281
11,0.035034,0.047762,0.986143,0.982753,0.982802,0.982753,0.982753,0.998543,0.987871,0.977598,0.022402,0.012129
12,0.034068,0.042531,0.986543,0.985290,0.985305,0.985290,0.985289,0.998710,0.988174,0.982384,0.017616,0.011826
13,0.033574,0.050530,0.986779,0.983032,0.983039,0.983032,0.983032,0.998318,0.981250,0.984828,0.015172,0.018750
14,0.032435,0.058606,0.987222,0.978569,0.978930,0.978569,0.978563,0.998222,0.992369,0.964666,0.035334,0.007631
15,0.032530,0.056058,0.986986,0.980116,0.980499,0.980116,0.980111,0.998551,0.994289,0.965837,0.034163,0.005711
16,0.031861,0.049462,0.987364,0.982677,0.982679,0.982677,0.982677,0.998420,0.983777,0.981569,0.018431,0.016223
17,0.025920,0.045150,0.989572,0.985214,0.985303,0.985214,0.985212,0.998614,0.992065,0.978311,0.021689,0.007935
18,0.024424,0.040225,0.990179,0.987065,0.987069,0.987065,0.987065,0.998874,0.985799,0.988341,0.011659,0.014201
19,0.024295,0.045455,0.990407,0.985442,0.985460,0.985442,0.985442,0.998598,0.988578,0.982282,0.017718,0.011422
20,0.023304,0.046532,0.990814,0.984199,0.984199,0.984199,0.984199,0.998476,0.984384,0.984013,0.015987,0.015616
21,0.022712,0.048699,0.990786,0.983819,0.983905,0.983819,0.983817,0.998483,0.990549,0.977038,0.022962,0.009451
22,0.022724,0.049175,0.991007,0.983793,0.983828,0.983793,0.983793,0.998391,0.988124,0.979431,0.020569,0.011876
23,0.019258,0.045721,0.992422,0.985974,0.985996,0.985974,0.985974,0.998609,0.989336,0.982587,0.017413,0.010664
24,0.017416,0.048797,0.993079,0.984960,0.985024,0.984960,0.984959,0.998583,0.990752,0.979125,0.020875,0.009248
25,0.017765,0.047414,0.992657,0.985416,0.985460,0.985416,0.985416,0.998548,0.990196,0.980602,0.019398,0.009804
